iteration;Nb bulles;Coordonnées_x_bulle1;Coordonnées_y_bulle1;vitesse_bulle1;Coordonnées_x_bulle30;Coordonnées_y_bulle30;vitesse_bulle30;Coordonnées_x_bulle100;Coordonnées_y_bulle100;vitesse_bulle100
50;107;428,98987;1311,0085;6,508071415706052e-06;422,00003;1280,0045;0,0;177,26042;566,02954;2,6032285662824207e-05
51;107;429,00006;1311,0022;0,00016920985680835736;421,99915;1280,0135;0,0002407986423811239;176,87212;558,5474;0,19945123765928943
52;107;428,99908;1311,0017;1,3016142831412103e-05;421,99908;1280,0133;6,508071415706052e-06;176,872;558,5471;8,135089269632565e-06
53;107;428,9986;1311,0011;1,627017853926513e-05;421,99985;1280,0131;6,508071415706052e-06;176,11943;551,12854;0,19775751207335193
54;107;428,9986;1311,0011;0,0;421,9998;1280,0132;3,254035707853026e-06;176,11945;551,1285;1,627017853926513e-06
55;107;429,00046;1311,0027;4,230246420208934e-05;421,99957;1280,015;4,881053561779539e-05;175,43442;543,62244;0,20008902865802863
56;107;429,00052;1311,0068;0,00011063721406700288;421,9996;1280,0149;3,254035707853026e-06;175,43433;543,6223;3,254035707853026e-06
57;107;429,0004;1311,0032;9,762107123559078e-05;421,99957;1280,0149;0,0;175,36661;536,6377;0,18618941513193443
58;107;429,0004;1311,0032;0,0;421,99957;1280,0149;0,0;175,36647;536,6378;3,254035707853026e-06
59;107;428,99988;1311,0029;6,508071415706052e-06;421,99957;1280,0148;3,254035707853026e-06;174,75793;529,64703;0,18635374393518103
60;107;429,00037;1311,0033;9,762107123559078e-06;421,9996;1280,0148;0,0;174,75679;529,6466;1,138912497748559e-05
61;107;429,00037;1311,0033;0,0;421,99966;1280,0148;0,0;174,18619;523,3388;0,16814741414974335
62;107;428,99213;1311,0092;0,00015619371397694525;421,99966;1280,0146;3,254035707853026e-06;174,18625;523,3387;3,254035707853026e-06
63;107;429,00006;1311,0034;0,00015293967826909223;421,99973;1280,0146;0,0;173,02068;516,64746;0,1783683403081097
64;107;429,0001;1311,0034;0,0;421,9998;1280,0148;3,254035707853026e-06;173,02063;516,64734;3,254035707853026e-06
65;107;428,99963;1311,0032;6,508071415706052e-06;421,99982;1280,0146;3,254035707853026e-06;172,30023;509,68536;0,1855857915081277
66;107;429,00006;1311,0034;6,508071415706052e-06;421,99982;1280,0146;0,0;172,30017;509,68524;3,254035707853026e-06
67;107;429,00024;1311,0038;9,762107123559078e-06;421,9997;1280,0151;1,3016142831412103e-05;172,1461;502,6516;0,18749591046863742
68;107;429,00027;1311,0078;0,00010738317835914985;421,99973;1280,0149;6,508071415706052e-06;172,14621;502,6516;0,0
69;107;428,99915;1311,0037;0,00011063721406700288;421,99976;1280,0149;0,0;171,08694;494,7133;0,21161238260846318
70;107;428,99857;1311,0029;1,9524214247118156e-05;421,9998;1280,0149;0,0;171,08145;494,70865;0,000123653356898415
71;107;428,99857;1311,0029;0,0;421,9998;1280,0148;3,254035707853026e-06;171,26543;487,24222;0,19903309407083034
72;107;428,99857;1311,0029;0,0;421,99976;1280,0148;0,0;171,26549;487,2423;2,4405267808897695e-06
73;107;428,99863;1311,0028;3,254035707853026e-06;421,9998;1280,0146;3,254035707853026e-06;171,06989;478,57794;0,230966573489846
74;107;428,99042;1311,0088;0,00015944774968479827;421,99985;1280,0145;3,254035707853026e-06;171,07022;478,57812;4,881053561779539e-06
75;107;428,99847;1311,003;0,00015293967826909223;421,99985;1280,0146;3,254035707853026e-06;170,4693;470,20782;0,22312760146962804
76;107;428,99844;1311,003;0,0;421,9999;1280,0145;3,254035707853026e-06;170,469;470,20764;4,881053561779539e-06
77;107;428,99844;1311,003;0,0;421,99997;1280,0145;0,0;170,10318;461,57272;0,23018153737532646
78;107;428,99844;1311,003;0,0;421,99997;1280,0146;3,254035707853026e-06;170,09227;461,56552;0,00019198810676332854
79;107;428,99844;1311,003;0,0;422,00006;1280,0145;3,254035707853026e-06;169,90018;454,82834;0,17959348475211637
80;107;428,99026;1311,0054;6,18266784492075e-05;421,99976;1280,0106;0,00010412914265129683;169,881;454,88403;0,001484653791707943
81;107;428,9872;1311,0059;1,3016142831412103e-05;421,99973;1280,0106;0,0;169,73257;448,42896;0,17207340823126802
82;107;428,98712;1311,0059;0,0;421,99966;1280,011;9,762107123559078e-06;169,73257;448,42896;0,0
83;107;428,98715;1311,0057;3,254035707853026e-06;421,9997;1280,011;0,0;169,36313;441,2948;0,19017560887405438
84;107;428,98682;1311,005;1,9524214247118156e-05;421,9994;1280,0127;4,555649990994236e-05;169,36313;441,2948;0,0
85;107;428,98373;1311,0074;6,508071415706052e-05;421,99936;1280,0127;0,0;168,65271;433,40863;0,21022209585228296
86;107;428,98666;1311,0046;7,484282128061959e-05;421,9994;1280,0128;3,254035707853026e-06;168,65263;433,40863;0,0
87;107;428,98666;1311,0046;0,0;421,9994;1280,0128;0,0;168,71303;424,85657;0,2279728606386212
88;107;428,98666;1311,0046;0,0;421,99936;1280,0128;0,0;168,71298;424,85663;1,627017853926513e-06
89;107;428,98666;1311,0046;0,0;421,99936;1280,0128;0,0;168,89705;417,57324;0,19415366752690472
90;107;428,98666;1311,0046;0,0;421,99936;1280,0128;0,0;168,89171;417,54752;0,0006857880254300252
91;107;428,98343;1311,0083;9,762107123559078e-05;422,00217;1280,0001;0,0003384197136167147;168,69466;408,89178;0,23073635046351537
92;107;428,98758;1311,0049;9,111299981988473e-05;422,00217;1280,0;3,254035707853026e-06;168,69466;408,89178;0,0
93;107;428,98758;1311,0048;3,254035707853026e-06;422,00226;1280,0;0,0;168,87767;400,28607;0,2294030093322226
94;107;428,98755;1311,0048;0,0;422,00226;1280,0;0,0;168,89511;400,25543;0,0008167629626711095
95;107;428,98752;1311,0049;3,254035707853026e-06;422,0008;1280,0051;0,0001366694997298271;169,10829;391,3443;0,23754460667327087
96;107;428,98743;1311,0049;0,0;422,0008;1280,0051;0,0;169,1086;391,34454;6,508071415706052e-06
97;107;428,9833;1311,0093;0,00011714528548270893;422,00107;1280,0032;5,2064571325648413e-05;168,80005;383,05905;0,22086686016159718
98;107;428,98724;1311,0052;0,00010738317835914985;422,00107;1280,0032;0,0;168,79991;383,05893;3,254035707853026e-06
99;107;428,98746;1311,0056;9,762107123559078e-06;421,99982;1280,0106;0,0001984961781790346;168,93747;374,04163;0,24037480423017607
100;107;428,98746;1311,0056;0,0;421,99982;1280,0106;0,0;168,93817;374,0417;1,627017853926513e-06
101;107;428,98746;1311,0056;0,0;421,99982;1280,0106;0,0;169,01408;365,39874;0,23039549022311778
102;107;428,98746;1311,0056;0,0;421,99982;1280,0106;0,0;169,0139;365,39868;1,627017853926513e-06
103;107;428,9843;1311,0089;8,78589641120317e-05;421,9999;1280,0101;1,3016142831412103e-05;169,05312;356,31415;0,2421669643962761
104;107;428,98734;1311,006;7,809685698847262e-05;421,99994;1280,0101;0,0;169,05312;356,3142;1,627017853926513e-06
105;107;428,98752;1311,0062;6,508071415706052e-06;422,0;1280,0101;0,0;169,20226;346,51373;0,2612518838228341
106;107;428,98743;1311,006;6,508071415706052e-06;422,0;1280,0101;0,0;169,20381;346,5134;8,94859819659582e-06
107;107;428,98697;1311,0057;6,508071415706052e-06;421,99997;1280,01;3,254035707853026e-06;169,83148;337,0443;0,2524179903849401
108;107;428,98697;1311,0057;0,0;421,99997;1280,01;0,0;169,83124;337,04416;4,067544634816283e-06
109;107;428,9872;1311,0092;9,111299981988473e-05;421,9999;1280,0103;6,508071415706052e-06;169,43639;326,7953;0,2732047704867053
110;107;428,9874;1311,0063;7,484282128061959e-05;421,99994;1280,0104;3,254035707853026e-06;169,43661;326,7957;1,0575616050522335e-05
111;107;428,99515;1311,0131;0,00017897196393191643;422,00156;1280,0082;5,8572642741354464e-05;169,75157;316,40744;0,2769200657561464
112;107;428,9952;1311,0131;0,0;422,00183;1280,0066;4,230246420208934e-05;169,75725;316,4025;0,00013178844616804755
113;107;428,9952;1311,0131;0,0;422,00192;1280,0065;3,254035707853026e-06;169,53583;306,95425;0,25186236378782423
114;107;428,99094;1311,0138;1,9524214247118156e-05;422,00247;1280,0037;7,484282128061959e-05;169,53557;306,95398;7,321580342669308e-06
